seed,head_learning_rate,finetune_learning_rate,weight_decay,dropout,selected_phase,selected_epoch,validation_loss,validation_accuracy,validation_macro_precision,validation_macro_recall,validation_macro_f1,elapsed_seconds,search_stage,config_id
42,0.0003,1e-05,0.0001,0.2,finetune,18,0.022527812297145525,1.0,1.0,1.0,1.0,44.419838800000434,coarse,e144e614d5
42,0.0003,1e-05,0.0001,0.5,finetune,19,0.036077464216699204,0.9833333333333333,0.9855072463768116,0.9833333333333333,0.9840455840455841,44.517654199999924,coarse,b36ce8c758
42,0.0003,1e-05,0.001,0.2,finetune,18,0.022397882491350173,1.0,1.0,1.0,1.0,43.430477599999904,coarse,6a268dfbf2
42,0.0003,1e-05,0.001,0.5,finetune,19,0.03609885235006611,0.9833333333333333,0.9855072463768116,0.9833333333333333,0.9840455840455841,44.033813900000496,coarse,4722b12726
42,0.0003,3e-05,0.0001,0.2,finetune,5,0.042495602866013844,1.0,1.0,1.0,1.0,35.93045209999946,coarse,4b533a57e8
42,0.0003,3e-05,0.0001,0.5,finetune,18,0.011965043741899233,1.0,1.0,1.0,1.0,41.806964000000335,coarse,830ea233f5
42,0.0003,3e-05,0.001,0.2,finetune,5,0.0425154522061348,1.0,1.0,1.0,1.0,32.36110759999974,coarse,51760fc1f3
42,0.0003,3e-05,0.001,0.5,finetune,18,0.01160863700012366,1.0,1.0,1.0,1.0,47.88326649999999,coarse,8232aea12a
42,0.001,1e-05,0.0001,0.2,finetune,18,0.018636145815253257,1.0,1.0,1.0,1.0,44.64626969999972,coarse,048f6deae1
42,0.001,1e-05,0.0001,0.5,finetune,19,0.03459625022951514,0.9833333333333333,0.9855072463768116,0.9833333333333333,0.9840455840455841,43.521057400000245,coarse,ab7352df09
42,0.001,1e-05,0.001,0.2,finetune,18,0.01907271333038807,1.0,1.0,1.0,1.0,44.6107849,coarse,dbfc5ddce7
42,0.001,1e-05,0.001,0.5,finetune,19,0.034170070523396136,0.9833333333333333,0.9855072463768116,0.9833333333333333,0.9840455840455841,49.5734936000008,coarse,86714b56bd
42,0.001,3e-05,0.0001,0.2,finetune,10,0.013802511182924112,1.0,1.0,1.0,1.0,37.72830299999987,coarse,276766120e
42,0.001,3e-05,0.0001,0.5,finetune,3,0.10008349666992823,0.9666666666666667,0.9688405797101449,0.9648148148148148,0.9664021164021164,29.761705599999914,coarse,9ba4203d5b
42,0.001,3e-05,0.001,0.2,finetune,10,0.014737216631571452,1.0,1.0,1.0,1.0,35.297935900000084,coarse,6cebadea8d
42,0.001,3e-05,0.001,0.5,finetune,3,0.1001770555973053,0.9666666666666667,0.9688405797101449,0.9648148148148148,0.9664021164021164,29.9172023000001,coarse,5bdc463827
17,0.0003,3e-05,0.001,0.5,finetune,18,0.004312704526819288,1.0,1.0,1.0,1.0,47.098680799999784,confirmation,8232aea12a
42,0.0003,3e-05,0.001,0.5,finetune,18,0.01160863700012366,1.0,1.0,1.0,1.0,42.365118699999584,confirmation,8232aea12a
2026,0.0003,3e-05,0.001,0.5,finetune,20,0.004333144750368471,1.0,1.0,1.0,1.0,35.99674070000037,confirmation,8232aea12a
17,0.0003,3e-05,0.0001,0.5,finetune,18,0.004422729966851572,1.0,1.0,1.0,1.0,47.95299369999975,confirmation,830ea233f5
42,0.0003,3e-05,0.0001,0.5,finetune,18,0.011965043741899233,1.0,1.0,1.0,1.0,43.69081180000012,confirmation,830ea233f5
2026,0.0003,3e-05,0.0001,0.5,finetune,8,0.03211551878290872,0.9833333333333333,0.9855072463768116,0.9833333333333333,0.9840455840455841,31.47499119999975,confirmation,830ea233f5
17,0.001,3e-05,0.0001,0.2,finetune,7,0.013978171224395434,1.0,1.0,1.0,1.0,31.526910900000075,confirmation,276766120e
42,0.001,3e-05,0.0001,0.2,finetune,10,0.013802511182924112,1.0,1.0,1.0,1.0,38.09050400000069,confirmation,276766120e
2026,0.001,3e-05,0.0001,0.2,finetune,4,0.028851802398761114,1.0,1.0,1.0,1.0,35.25858960000005,confirmation,276766120e
